words|s	fre|f	bigr|f	l|f	neig|f
akats	40.05	7.09	5	2
hortz	40.05	10.3	5	4
eroan	40.33	9.28	5	5
klima	40.33	6.49	5	0
gorako	40.33	13.49	6	5
sobera	40.33	12.3	6	2
txanda	40.33	10.93	6	3
eskura	40.6	12.84	6	2
esnatu	40.87	12.02	6	5
ogasun	40.87	8.3	6	1
egite	41.15	9.97	5	5
estali	41.15	11.87	6	1
pila	41.42	6.67	4	15
txori	41.42	8.31	5	3
itun	41.7	4.98	4	8
mezu	41.7	5.38	4	3
zeru	41.7	8.12	4	7
botila	41.7	11.23	6	2
haragi	41.7	11.44	6	2
gozo	41.97	5.43	4	4
aulki	41.97	7.25	5	1
isil	42.52	3.76	4	1
hosto	42.52	9.22	5	3
jauzi	42.52	9.57	5	2
landa	42.52	9.21	5	5
lotan	42.52	8.92	5	3
zinez	42.52	10.59	5	8
olerki	42.52	9.71	6	2
ardo	42.79	6.89	4	6
auzi	42.79	6.29	4	5
pena	42.79	6.4	4	9
hegan	42.79	9.39	5	7
zona	43.07	6.33	4	13
burura	43.07	12.58	6	1
ondare	43.07	11.51	6	1
auto	43.34	5.76	4	5
guda	43.34	6.38	4	7
bizkor	43.34	9.95	6	1
soka	43.62	5.04	4	15
urre	43.62	7.46	4	8
kausa	43.62	9.39	5	3
fisiko	43.62	11.28	6	1
isildu	43.62	9.65	6	1
txar	43.89	4.44	4	5
onean	43.89	8.46	5	4
presio	43.89	9.5	6	1
arma	44.17	5.16	4	7
egile	44.17	7.82	5	1
jarrai	44.17	11.39	6	3
hola	44.44	8.3	4	10
pean	44.44	5.9	4	3
polit	44.44	7.52	5	1
aitona	44.71	11.42	6	0
kaxa	44.99	4.24	4	11
bikote	44.99	10.22	6	2
poeta	45.26	8.08	5	3
urdin	45.54	9.39	5	2
aditu	45.81	9.01	5	7
babes	45.81	8.16	5	1
oinez	45.81	9.28	5	7
banaka	45.81	12.95	6	4
fase	46.08	5.12	4	3
jada	46.08	7.17	4	7
buruko	46.08	12.33	6	1
hedatu	46.08	11.88	6	1
mutur	46.36	9.12	5	1
segitu	46.36	12.54	6	1
gutun	46.63	9.81	5	2
arropa	46.63	9.94	6	4
gidari	46.63	11.71	6	2
molde	46.91	8.8	5	2
bizkar	46.91	10.89	6	1
zintzo	46.91	11.5	6	2
etsai	47.18	7.66	5	0
topatu	47.18	11.22	6	2
gogoz	47.46	8.14	5	5
esne	47.73	5.38	4	3
fede	47.73	4.97	4	2
ildo	47.73	6.14	4	3
denda	47.73	9.34	5	4
auzoko	47.73	11.95	6	4
disko	48.01	8.95	5	3
harro	48.01	11.04	5	5
marra	48.01	10.84	5	17
salbu	48.01	7.1	5	3
usain	48.28	9.07	5	2
galde	48.55	10.48	5	6
ardi	48.83	6.92	4	7
bitxi	49.1	9	5	2
kantu	49.1	10.12	5	9
kutxa	49.1	7.91	5	2
astiro	49.1	10.82	6	1
hein	49.38	7.09	4	4
xede	49.65	5.05	4	4
truke	49.65	6.88	5	2
haatik	50.2	11.87	6	0
ahoz	50.47	4.99	4	3
