words|s	conc|f	fre|f	l|f	bigr|f	neig|f
code	432	40	4	9.04	11
grace	314	40	5	12.82	7
inch	451	40	4	9.54	1
pope	593	40	4	7.97	13
proof	328	40	5	10.44	0
rode	353	40	4	8.91	13
self	459	40	4	9.23	2
shear	456	40	5	13.12	5
talent	290	40	6	14.46	0
tool	570	40	4	9.05	8
bread	622	41	5	11.97	6
match	535	41	5	12.3	7
queen	537	41	5	11.54	1
rare	327	41	4	9.96	14
rough	452	41	5	11.44	5
seed	611	41	4	9.98	18
sell	342	41	4	10.37	11
smoke	541	41	5	10.79	4
teach	353	41	5	13.19	5
vice	399	41	4	8.25	8
ease	305	42	4	9.46	6
hate	335	42	4	9.61	14
muscle	573	42	6	12.02	0
pride	270	42	5	10.8	5
prison	570	42	6	14.39	1
skill	346	42	5	10.6	4
smooth	406	42	6	11.76	0
threat	335	42	6	13.9	2
throw	400	42	5	11.46	2
urban	420	42	5	8.4	0
weapon	560	42	6	12.49	0
wire	585	42	4	10.71	17
bureau	547	43	6	12.85	0
cloth	580	43	5	12.01	2
coat	601	43	4	10.13	9
dirt	564	43	4	8.27	5
drama	375	43	5	9.8	0
grown	356	43	5	12.21	8
heaven	305	43	6	14.42	2
iron	584	43	4	8.39	1
lawyer	569	43	6	12.19	1
liquor	630	43	6	9.98	0
oxygen	484	43	6	10.18	0
porch	596	43	5	12.46	4
rapid	415	43	5	9.61	3
route	440	43	5	12.92	2
salary	456	43	6	13.31	0
brush	589	44	5	11.05	3
burden	391	44	6	14.52	0
lovely	318	44	6	14.95	2
origin	319	44	6	12.44	0
path	504	44	4	9.99	8
sale	364	44	4	9.88	17
snake	621	44	5	7.86	4
wisdom	275	44	6	11.8	0
brain	556	45	5	12.24	5
cast	502	45	4	10.48	14
curve	447	45	5	9.42	2
load	439	45	4	9.26	9
meat	587	45	4	10.71	13
mold	486	45	4	9.87	11
prime	360	45	5	10.6	5
sheet	608	45	5	12.59	5
steel	586	45	5	11.8	4
author	502	46	6	13	0
avenue	539	46	6	10.27	1
bond	403	46	4	9.93	9
dollar	575	46	6	12.72	1
loan	372	46	4	9.48	8
native	471	46	6	13.51	0
pocket	578	46	6	15.07	6
salt	594	46	4	9.67	4
threw	333	46	5	11.79	3
trend	328	46	5	12.23	1
wave	492	46	4	10.73	14
aspect	217	47	6	12.47	0
blind	443	47	5	12.36	4
cook	502	47	4	10.03	11
luck	275	47	4	8.61	12
mail	508	47	4	9.66	15
ring	593	47	4	9.17	11
safety	323	47	6	12.38	1
